date,Positive,sad,anger,anx
0000,1545,710,607,459
0030,1694,787,667,499
0100,1379,698,529,377
0130,1513,786,602,445
0200,1227,616,458,336
0230,1509,673,551,441
0300,1262,572,495,369
0330,1412,642,616,386
0400,1175,615,480,344
0430,1452,688,586,368
0500,1305,605,518,360
0530,1553,710,615,413
0600,1337,632,487,318
0630,1659,770,659,458
0700,1484,732,468,348
0730,1557,678,597,350
0800,1796,741,641,414
0830,1605,684,601,411
0900,1596,651,588,393
0930,1425,529,519,353
1000,1421,608,513,313
1030,1380,604,541,392
1100,1420,597,572,354
1130,1515,650,584,401
1200,1423,611,545,365
1230,1439,609,578,388
1300,1652,697,548,369
1330,1560,654,611,411
1400,1573,696,615,368
1430,1544,599,526,354
1500,1698,687,664,379
1530,1840,777,737,450
1600,1803,865,725,469
1630,1817,750,690,404
1700,1851,870,753,446
1730,1790,879,727,524
1800,1964,972,873,472
1830,1942,937,771,514
1900,2077,1017,856,534
1930,1943,915,692,474
2000,2119,927,901,559
2030,2205,1018,884,519
2100,2164,982,826,472
2130,2196,1081,869,571
2200,1996,983,870,549
2230,2258,1123,873,584
2300,2239,1149,910,639
2330,2462,1347,1109,687
