id,Positive,sad,anger,anx
0,1545,710,607,459
1,1694,787,667,499
2,1379,698,529,377
3,1513,786,602,445
4,1227,616,458,336
5,1509,673,551,441
6,1262,572,495,369
7,1412,642,616,386
8,1175,615,480,344
9,1452,688,586,368
10,1305,605,518,360
11,1553,710,615,413
12,1337,632,487,318
13,1659,770,659,458
14,1484,732,468,348
15,1557,678,597,350
16,1796,741,641,414
17,1605,684,601,411
18,1596,651,588,393
19,1425,529,519,353
20,1421,608,513,313
21,1380,604,541,392
22,1420,597,572,354
23,1515,650,584,401
24,1423,611,545,365
25,1439,609,578,388
26,1652,697,548,369
27,1560,654,611,411
28,1573,696,615,368
29,1544,599,526,354
30,1698,687,664,379
31,1840,777,737,450
32,1803,865,725,469
33,1817,750,690,404
34,1851,870,753,446
35,1790,879,727,524
36,1964,972,873,472
37,1942,937,771,514
38,2077,1017,856,534
39,1943,915,692,474
40,2119,927,901,559
41,2205,1018,884,519
42,2164,982,826,472
43,2196,1081,869,571
44,1996,983,870,549
45,2258,1123,873,584
46,2239,1149,910,639
47,2462,1347,1109,687
